module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
bmm,1-analysis,Brainstorm Project,BP,10,_evo/core/workflows/brainstorming/workflow.md,evo-brainstorming,false,analyst,evo:competitive analysis:agent:analyst,Mary,📊 Business Analyst,data=_evo/bmm/data/project-context-template.md,Expert Guided Facilitation through a single or multiple techniques,planning_artifacts,brainstorming session
bmm,1-analysis,Market Research,MR,20,_evo/bmm/workflows/1-analysis/research/workflow-market-research.md,evo-bmm-market-research,false,analyst,evo:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,Market analysis competitive landscape customer needs and trends,planning_artifacts|project-knowledge,research documents
bmm,1-analysis,Domain Research,DR,21,_evo/bmm/workflows/1-analysis/research/workflow-domain-research.md,evo-bmm-domain-research,false,analyst,evo:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,Industry domain deep dive subject matter expertise and terminology,planning_artifacts|project_knowledge,research documents
bmm,1-analysis,Technical Research,TR,22,_evo/bmm/workflows/1-analysis/research/workflow-technical-research.md,evo-bmm-technical-research,false,analyst,evo:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,Technical feasibility architecture options and implementation approaches,planning_artifacts|project_knowledge,research documents
bmm,1-analysis,Create Brief,CB,30,_evo/bmm/workflows/1-analysis/create-product-brief/workflow.md,evo-bmm-create-product-brief,false,analyst,evo:competitive analysis:agent:analyst,Mary,📊 Business Analyst,Create Mode,A guided experience to nail down your product idea,planning_artifacts,product brief
bmm,2-planning,Create PRD,CP,10,_evo/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md,evo-bmm-create-prd,true,pm,evo:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Create Mode,Expert led facilitation to produce your Product Requirements Document,planning_artifacts,prd
bmm,2-planning,Validate PRD,VP,20,_evo/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md,evo-bmm-validate-prd,false,pm,evo:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Validate Mode,Validate PRD is comprehensive lean well organized and cohesive,planning_artifacts,prd validation report
bmm,2-planning,Edit PRD,EP,25,_evo/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md,evo-bmm-edit-prd,false,pm,evo:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Edit Mode,Improve and enhance an existing PRD,planning_artifacts,updated prd
bmm,2-planning,Create UX,CU,30,_evo/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md,evo-bmm-create-ux-design,false,ux-designer,evo:interaction design:agent:ux-designer,Sally,🎨 UX Designer,Create Mode,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project",planning_artifacts,ux design
bmm,3-solutioning,Create Architecture,CA,10,_evo/bmm/workflows/3-solutioning/create-architecture/workflow.md,evo-bmm-create-architecture,true,architect,evo:cloud infrastructure:agent:architect,Winston,🏗️ Architect,Create Mode,Guided Workflow to document technical decisions,planning_artifacts,architecture
bmm,3-solutioning,Create Epics and Stories,CE,30,_evo/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md,evo-bmm-create-epics-and-stories,true,pm,evo:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Create Mode,Create the Epics and Stories Listing,planning_artifacts,epics and stories
bmm,3-solutioning,Check Implementation Readiness,IR,70,_evo/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md,evo-bmm-check-implementation-readiness,true,architect,evo:cloud infrastructure:agent:architect,Winston,🏗️ Architect,Validate Mode,Ensure PRD UX Architecture and Epics Stories are aligned,planning_artifacts,readiness report
bmm,4-implementation,Sprint Planning,SP,10,_evo/bmm/workflows/4-implementation/sprint-planning/workflow.md,evo-bmm-sprint-planning,true,sm,evo:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,Generate sprint plan for development tasks - this kicks off the implementation phase by producing a plan the implementation agents will follow in sequence for every story in the plan.,implementation_artifacts,sprint status
bmm,4-implementation,Sprint Status,SS,20,_evo/bmm/workflows/4-implementation/sprint-status/workflow.md,evo-bmm-sprint-status,false,sm,evo:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,Anytime: Summarize sprint status and route to next workflow,,
bmm,4-implementation,Create Story,CS,30,_evo/bmm/workflows/4-implementation/create-story/workflow.md,evo-bmm-create-story,true,sm,evo:story preparation:agent:sm,Bob,🏃 Scrum Master,Create Mode,"Story cycle start: Prepare first found story in the sprint plan that is next, or if the command is run with a specific epic and story designation with context. Once complete, then VS then DS then CR then back to DS if needed or next CS or ER",implementation_artifacts,story
bmm,4-implementation,Validate Story,VS,35,_evo/bmm/workflows/4-implementation/create-story/workflow.md,evo-bmm-create-story,false,sm,evo:story preparation:agent:sm,Bob,🏃 Scrum Master,Validate Mode,Validates story readiness and completeness before development work begins,implementation_artifacts,story validation report
bmm,4-implementation,Dev Story,DS,40,_evo/bmm/workflows/4-implementation/dev-story/workflow.md,evo-bmm-dev-story,true,dev,evo:all precision.:agent:dev,Amelia,💻 Developer Agent,Create Mode,Story cycle: Execute story implementation tasks and tests then CR then back to DS if fixes needed,,
